city_file_number,permit_type,permit_class,status,description_of_development,address,legal_description,neighbourhood_id,neighbourhood,ward,bia,land_parcel_count,latitude,longitude,location,geometry_point,neighbourhood_classification,zoning,permit_date
646621030-002,Major Development Permit,Not Available,Other,To change the use from General Retail Store to a 130 m2 Health Service (dental clinic) and to construct interior alterations,129 - CHARLESWORTH DRIVE SW,Condo Common Area (Plan 2621170),6661,CHARLESWORTH,Karhiio Ward,,3,53.42971660023558,-113.39447694671898,,"{'type': 'Point', 'coordinates': [-113.39447694671898, 53.42971660023558]}",Developing,CN,
565197049-002,Major Development Permit,Not Available,Other,To continue operate a Health Service (denture clinic) and to construct interior alterations,"205, 12970 - 97 STREET NW",Plan 1424543 Blk 11 Lot 7,3260,LAUDERDALE,Anirniq Ward,,3,53.58916726292023,-113.49257365134315,,"{'type': 'Point', 'coordinates': [-113.49257365134315, 53.58916726292023]}",Redeveloping,MU,
591927929-002,Sign Permit,Not Available,Other,To install a Minor Digital Sign in the form of a Ground Sign limited to On-premises Advertising (Ellwood Medical Centre),620 - 91 STREET SW,Plan 1125270 Blk 1 Lot 13,6214,ELLERSLIE INDUSTRIAL,Karhiio Ward,,3,53.42662980096955,-113.47475689043353,,"{'type': 'Point', 'coordinates': [-113.47475689043353, 53.42662980096955]}",,,
483876366-002,Major Development Permit,Not Available,Other,To Continue to Operate a Legally Non Conforming Veterinary Clinic (NDPR),11403 - 143 STREET NW,Plan 4990HW Blk 5 Lot 1,3230,HUFF BREMNER ESTATE INDUSTRIAL,Anirniq Ward,,3,53.56322191535466,-113.56705794397968,,"{'type': 'Point', 'coordinates': [-113.56705794397968, 53.56322191535466]}",Industrial,IM,
451655679-002,Major Development Permit,Not Available,Refused,To operate an Animal Hospital and Shelter and construct interior alterations.,10933A - 166A STREET NW,"Plan 3413NY Blk 4 Lots 8A,9A",4600,WEST SHEFFIELD INDUSTRIAL,Nakota Isga Ward,,3,53.55701325997241,-113.60703009555328,,"{'type': 'Point', 'coordinates': [-113.60703009555328, 53.55701325997241]}",Industrial,IM,
542314947-002,Sign Permit,Not Available,Other,To install (2) Fascia Sign(s) limited to On-premises Advertising (RJB MEDICAL CENTER),7004 - 98 AVENUE NW,Plan 6408MC Blk 20A Lots 51-52,6730,TERRACE HEIGHTS,Métis Ward,,3,53.537844281916946,-113.43616187461856,,"{'type': 'Point', 'coordinates': [-113.43616187461856, 53.537844281916946]}",,,
420801209-002,Major Development Permit,Not Available,Other,To change the use of a portion of a Health Service building to a General Retail Store and to construct interior alterations (retail pharmacy),11230 - 110 STREET NW,Plan 4733KS Blk 9 Lot 275,1230,SPRUCE AVENUE,O-day'min Ward,Kingsway,3,53.56258433779736,-113.5105721563639,,"{'type': 'Point', 'coordinates': [-113.5105721563639, 53.56258433779736]}",Redeveloping,CG,
221652115-001,Sign Permit,Permitted Development,Other,To install a Fascia On-premises Sign (Garneau Medical Clinic).,8619 - 109 STREET NW,Plan 3901AJ Blk 186 Lots 21-22,5200,GARNEAU,papastew Ward,,3,53.522441812544216,-113.51150916505487,,"{'type': 'Point', 'coordinates': [-113.51150916505487, 53.522441812544216]}",,CB1,
507536434-002,Major Development Permit,Not Available,Other,"Duplicate Application (reference DP# 441364507-002) --
To construct an addition and interior and exterior alterations to a Health Care Facility (Mechanical Penthouse addition at level 6 of Walter C. Mackenzie Health Science Centre building)",8440 - 112 STREET NW,Plan 9826528 Lot 6,5520,UNIVERSITY OF ALBERTA,papastew Ward,,3,53.52076421198325,-113.52318680055302,,"{'type': 'Point', 'coordinates': [-113.52318680055302, 53.52076421198325]}",Redeveloping,AJ,
634025476-002,Major Development Permit,Not Available,Other,To continue to operate a Minor Industrial use and to construct interior alterations (Congdon medical supplies store),10203 - 184 STREET NW,Plan 9923740 Lot 1D,4340,MORIN INDUSTRIAL,Nakota Isga Ward,,3,53.543933697426674,-113.63866644778733,,"{'type': 'Point', 'coordinates': [-113.63866644778733, 53.543933697426674]}",Industrial,DC2,
395346630-002,Sign Permit,Not Available,Other,To install (1) Fascia On-Premises Sign(s)  (HEALTH SQUARE PHARMACY),11045 - 124 STREET NW,Plan RN39B Blk 45 Lot 11,3440,WESTMOUNT,O-day'min Ward,124 Street and Area,3,53.558723772343804,-113.5354089512416,,"{'type': 'Point', 'coordinates': [-113.5354089512416, 53.558723772343804]}",,,
377449472-002,Major Development Permit,Not Available,Other,To change the use from Health Service to a Veterinary Service and to construct interior alterations,4213 - CALGARY TRAIL NW,Plan 9422309 Blk 5 Lot 4,5120,CALGARY TRAIL SOUTH,papastew Ward,,3,53.47874567065362,-113.49375130692682,,"{'type': 'Point', 'coordinates': [-113.49375130692682, 53.47874567065362]}",Industrial,CG,
476073729-002,Major Development Permit,Not Available,Other,To continue to operate a General Retail Store and to construct interior alterations (adding consultation rooms to a pharmacy),250 - WATT COMMON SW,Plan 1422177 Blk 30 Lot 5,6662,WALKER,Karhiio Ward,,3,53.42254530644787,-113.42375467216169,,"{'type': 'Point', 'coordinates': [-113.42375467216169, 53.42254530644787]}",Developing,DC1,
612055839-002,Major Development Permit,Not Available,Other,To Change the Use from an Indoor Sales and Service to a Health Service (Physiotherapy Clinic),"8, 109 - KINGLET BOULEVARD NW",Plan 2220074 Blk 1 Lot 1,4477,KINGLET GARDENS,Nakota Isga Ward,,3,53.57386840251041,-113.69049190980908,,"{'type': 'Point', 'coordinates': [-113.69049190980908, 53.57386840251041]}",Developing,CG,
501857315-002,Major Development Permit,Not Available,Other,To change the use from General Retail Store to Health Service and Convenience Retail Store [Indoor Sales and Service] (medical clinic and pharmacy) and to construct interior alterations,138 - EDGEMONT ROAD NW,Plan 2222438 Blk 1 Lot 59,4462,EDGEMONT,sipiwiyiniwak Ward,,3,53.47689116049036,-113.67017304269677,,"{'type': 'Point', 'coordinates': [-113.67017304269677, 53.47689116049036]}",Developing,DC2,
377937180-002,Major Development Permit,Not Available,Other,To continue to operate a General Retail Store and to construct interior alterations (pharmacy),"120, 10216 - 124 STREET NW",Plan RN22 Blk 33 Lots 14-16,3440,WESTMOUNT,O-day'min Ward,124 Street and Area,3,53.543747054170595,-113.53640199621461,,"{'type': 'Point', 'coordinates': [-113.53640199621461, 53.543747054170595]}",Redeveloping,DC2,
273266754-001,Major Development Permit,Not Available,Other,To change the use from General Retail Stores to Health Services (Cannabis Clinic).,12451 - 97 STREET NW,Plan 5701HW Blk 11 Lot A,1080,DELTON,Métis Ward,,3,53.580848870601905,-113.49151020993524,,"{'type': 'Point', 'coordinates': [-113.49151020993524, 53.580848870601905]}",Redeveloping,CG,
457861740-002,Major Development Permit,Not Available,Other,"To change the use from Professional, Financial, Office Support Service to a Health Service (dental office)","202, 12850 - 97 STREET NW",Condo Common Area (Plan 2221739),3260,LAUDERDALE,Anirniq Ward,,3,53.58720784426612,-113.49260827305545,,"{'type': 'Point', 'coordinates': [-113.49260827305545, 53.58720784426612]}",Redeveloping,CSC,
624236890-002,Major Development Permit,Not Available,Other,To operate a Health Service and to add an Accessory Indoor Sales and Services limited to Convenience Retail Store (pharmacy) and Food and Drink Services limited to Specialty Food Service (coffee shop) and to construct interior alterations.,6070 - ANDREWS WAY SW,Condo Common Area (Plan 2522543),5505,AMBLESIDE,pihêsiwin Ward,,4,53.428898049,-113.592207118,,"{'type': 'Point', 'coordinates': [-113.592207118, 53.428898049]}",Developing,DC1,
666670059-002,Major Development Permit,Not Available,Other,To add a Health Service use to a General Retail Store (pharmacy) and to construct interior alterations,"101, 5586 - WINDERMERE BOULEVARD NW",Plan 1722192 Unit 318,5570,WINDERMERE,pihêsiwin Ward,,3,53.43990919933184,-113.62085600212657,,"{'type': 'Point', 'coordinates': [-113.62085600212657, 53.43990919933184]}",Developing,DC2,
520994613-002,Major Development Permit,Not Available,Other,To continue to operate a Health Service (physio office) and to construct interior alterations,2927 - 119A STREET SW,Plan 2020566 Blk 3 Lot 3,5472,HERITAGE VALLEY TOWN CENTRE,Ipiihkoohkanipiaohtsi Ward,,3,53.4064442389607,-113.53811860824868,,"{'type': 'Point', 'coordinates': [-113.53811860824868, 53.4064442389607]}",Developing,TC-C,
429617425-002,Major Development Permit,Not Available,Other,To Operate a Health Service (Physiotherapy Clinic),6605 - 25 AVENUE SW,Plan 2120387 Blk 21 Lot 205,6216,THE ORCHARDS AT ELLERSLIE,Karhiio Ward,,3,53.409341401375784,-113.44442499056149,,"{'type': 'Point', 'coordinates': [-113.44442499056149, 53.409341401375784]}",Developing,CG,
384123430-002,Sign Permit,Not Available,In Progress,To install (2) Fascia On-Premises Sign(s)  (EMERALD MEDICAL & WELLNESS CENTRE       ),"200, 9943 - 109 STREET NW",Condo Common Area (Plan 0628335),1090,DOWNTOWN,O-day'min Ward,Downtown,3,53.53839336771695,-113.50788093755689,,"{'type': 'Point', 'coordinates': [-113.50788093755689, 53.53839336771695]}",,,
386327829-002,Major Development Permit,Not Available,Other,"To change the use from General Retail Store to a Health Service and Convenience Retail Store (medical clinic and pharmacy), and to construct interior alterations",9722 - 106 AVENUE NW,Plan NA Blk 12 Lots 29-30,1140,MCCAULEY,O-day'min Ward,Chinatown and Area,3,53.550289945691034,-113.48970260360062,,"{'type': 'Point', 'coordinates': [-113.48970260360062, 53.550289945691034]}",Redeveloping,MU,
384802828-002,Sign Permit,Not Available,Other,To install (1) Fascia On-Premises Sign(s) To install (1) replacement panel(s)on an Existing Sign  (THE MEDICINE SHOPPE PHARMACY 377),6604 - 132 AVENUE NW,Plan 5587MC Blk 3 Lot 25,2230,DELWOOD,tastawiyiniwak Ward,,3,53.592517320978004,-113.44346705266159,,"{'type': 'Point', 'coordinates': [-113.44346705266159, 53.592517320978004]}",,,
476683499-002,Major Development Permit,Not Available,Other,"To change the use from Professional, Financial, Office Support Service to Health Service/Convenience Retail Store (pharmacy) and to construct interior alterations",3016 - 106 STREET NW,Plan 4884TR Blk 9 Lot 4,5470,STEINHAUER,Ipiihkoohkanipiaohtsi Ward,,3,53.46248556450075,-113.50303212592132,,"{'type': 'Point', 'coordinates': [-113.50303212592132, 53.46248556450075]}",Redeveloping,CG,
458096400-002,Major Development Permit,Not Available,Other,To change the use from a General Retail Store to a Health Service and Convenience Retail Store (medical clinic and pharmacy) and to construct exterior and interior alterations (rear accessibility ramp and parking lot reconfiguration),10620 - 100 STREET NW,Plan EF Lots 160-163,1140,MCCAULEY,O-day'min Ward,Chinatown and Area,3,53.55063341605789,-113.49266792230901,,"{'type': 'Point', 'coordinates': [-113.49266792230901, 53.55063341605789]}",Redeveloping,MU,
529188842-002,Major Development Permit,Not Available,Other,To change the use from Restaurant to a 327 m2 Health Service (dental clinic) and to construct interior alterations,3363 - 153 AVENUE NW,Condo Common Area (Plan 2421328),2251,EBBERS,Dene Ward,,4,53.614946014,-113.3920876,,"{'type': 'Point', 'coordinates': [-113.3920876, 53.614946014]}",Developing,DC2,
661414260-002,Major Development Permit,Not Available,Other,To Change the Use from an Indoor Sales and Service to a Health Service (Dental Clinic),1349 - ROSENTHAL BOULEVARD NW,Plan 2221031 Blk 10 Lot 1,4750,ROSENTHAL,Nakota Isga Ward,,3,53.517225612774226,-113.71241851766891,,"{'type': 'Point', 'coordinates': [-113.71241851766891, 53.517225612774226]}",Developing,CN,
432081832-002,Major Development Permit,Not Available,Other,To change the use from Personal Service Shop to a Convenience Retail Store (pharmacy) and to construct interior alterations,11823 - 40 AVENUE NW,Plan 1210NY Blk 44 Lot 25,5220,GREENFIELD,papastew Ward,,3,53.47604881584329,-113.53787308100657,,"{'type': 'Point', 'coordinates': [-113.53787308100657, 53.47604881584329]}",Redeveloping,CN,
167669933-001,Major Development Permit,Discretionary Development,Other,To change the Use from Convenience Retail Stores and Specialty Food Services to Personal Service Shops and Veterinary Services.,8744 - 149 STREET NW,Plan 5572HW Blk 1 Lots 4-10,4230,JASPER PARK,sipiwiyiniwak Ward,,3,53.520690932738894,-113.57849018159061,,"{'type': 'Point', 'coordinates': [-113.57849018159061, 53.520690932738894]}",Redeveloping,CG,
651771972-002,Sign Permit,Not Available,Other,To install (1) Projecting Sign(s) not in the form of a Roof Sign limited to On-premises Advertising (Ellerslie Gate Medical Clinic),787 - 75 STREET SW,Plan 9321197 Blk 1 Lot 2,6211,ELLERSLIE,Karhiio Ward,,3,53.42596617329275,-113.44983078710192,,"{'type': 'Point', 'coordinates': [-113.44983078710192, 53.42596617329275]}",,,
375338005-002,Sign Permit,Permitted Development,Approved,To install (2) Fascia On-Premises Sign(s) (URBAN SMILES DENTAL | FAMILY DENTAL CENTRE).,8003 - 104 STREET NW,"Plan I Blk 50 Lots 1-13,26-30",5151,STRATHCONA JUNCTION,papastew Ward,Old Strathcona,3,53.516604399734675,-113.49667033568517,,"{'type': 'Point', 'coordinates': [-113.49667033568517, 53.516604399734675]}",,CB2,
439393227-002,Major Development Permit,Not Available,Other,To continue to operate a Health Service and to construct interior alterations (physiotherapy clinic),"207, 4363 - 167 AVENUE NW","Condo Common Area (Plan 1823461,1823198,1823199,2321186)",2110,BRINTNELL,Dene Ward,,3,53.62793109103365,-113.4072016174051,,"{'type': 'Point', 'coordinates': [-113.4072016174051, 53.62793109103365]}",Developing,CB2,
624336562-002,Major Development Permit,Not Available,Other,To change the use from General Retail Store to a Health Service (physiotherapy clinic) and to construct interior alterations,16537 - RABBIT HILL ROAD SW,Plan 2320929 Blk A Lot 3,5579,GLENRIDDING RAVINE,pihêsiwin Ward,,3,53.4096038872508,-113.60906625783711,,"{'type': 'Point', 'coordinates': [-113.60906625783711, 53.4096038872508]}",Developing,DC2,
442667302-002,Major Development Permit,Not Available,Other,"To operate a Health Service and General Retail Store from a General Retail Store building (Medical clinic with pharmacy), and to construct interior alterations",1223 - ASTER BOULEVARD NW,Plan 2022819 Blk 9 Lot 1,6445,ASTER,Sspomitapi Ward,,3,53.450060978527006,-113.36725000531322,,"{'type': 'Point', 'coordinates': [-113.36725000531322, 53.450060978527006]}",Developing,CN,
448497889-002,Major Development Permit,Not Available,Other,To change the use from General Retail Store to Convenience Retail Store/Health Service (pharmacy),12852 - 97 STREET NW,Condo Common Area (Plan 2221739),3260,LAUDERDALE,Anirniq Ward,,3,53.58720784426612,-113.49260827305545,,"{'type': 'Point', 'coordinates': [-113.49260827305545, 53.58720784426612]}",Redeveloping,CSC,
508423291-002,Sign Permit,Not Available,Other,To install (3) Fascia Sign(s) limited to On-premises Advertising (RITE CHOICE PHARMACY),4273 - 23 AVENUE NW,Condo Common Area (Plan 1321238),6150,DALY GROVE,Sspomitapi Ward,,3,53.45474465711577,-113.40836503191065,,"{'type': 'Point', 'coordinates': [-113.40836503191065, 53.45474465711577]}",,,
538593040-002,Major Development Permit,Not Available,Other,To Change the Use from a General Retail Store to a Health Service (Stride Physiotherapy Clinic),21632 - 92 AVENUE NW,Plan 2322103 Blk 2 Lot 68,4487,SECORD,Nakota Isga Ward,,3,53.52874830368964,-113.69131257109356,,"{'type': 'Point', 'coordinates': [-113.69131257109356, 53.52874830368964]}",Developing,DC2,
667943274-002,Sign Permit,Permitted Development,In Progress,To install (1) Fascia On-premises Sign (TODAY'S DENTAL),"1, 9977 - 178 STREET NW",Plan 9723089 Blk 1 Lot 1,4540,TERRA LOSA,Nakota Isga Ward,,3,53.53714674956114,-113.62575973090301,,"{'type': 'Point', 'coordinates': [-113.62575973090301, 53.53714674956114]}",,DC2,
398752726-002,Major Development Permit,Not Available,Other,To change the use from General Retail Store to a Health Service and Convenience Retail Store (medical clinic and pharmacy) and to construct interior alterations.,13008 - 82 STREET NW,Plan 4651KS Blk 24 Lots 35-39,2420,KILLARNEY,tastawiyiniwak Ward,,3,53.58957618022515,-113.46783989275369,,"{'type': 'Point', 'coordinates': [-113.46783989275369, 53.58957618022515]}",Redeveloping,MU,
510187407-002,Sign Permit,Permitted Development,Other,To install (1) Fascia Sign(s) limited to On-premises Advertising (REEMAKE SKIN MEDICAL SPA AND LASER CLINIC),6858 - 178 AVENUE NW,Condo Common Area (Plan 2221981),2462,CRYSTALLINA NERA EAST,tastawiyiniwak Ward,,3,53.64175017574951,-113.44402001868147,,"{'type': 'Point', 'coordinates': [-113.44402001868147, 53.64175017574951]}",,CN,
